CAT:95.73:Moving up:0.01:97.30:94.08:95.99
VZ:40.65:Moving down:-0.01:40.47:40.10:40.25
HPQ:23.56:Moving down:-0.01:23.53:22.92:23.33
TRV:64.70:Moving down:-0.02:64.32:63.60:63.92
PG:64.16:Moving up:64.16:64.29:63.57:63.67
IBM:201.15:Moving up:0.01:203.00:199.06:201.23
KFT:39.10:Moving up:0.01:39.14:38.84:38.87
CVX:103.80:Moving down:-0.01:102.50:101.37:101.78
UTX:77.50:Moving up:0.01:77.91:76.76:77.01
GE:19.16:Moving up:0.01:19.04:18.74:18.91
MMM:87.27:Moving up:0.01:87.84:85.98:87.27
HD:50.70:Moving up:0.07:50.37:49.85:50.11
AXP:59.49:Moving down:-0.01:59.99:58.93:59.46
DD:52.15:Moving up:0.01:52.60:51.85:52.09
TRV:64.71:Moving up:0.01:64.32:63.60:63.92
MCD:92.19:Moving up:0.01:93.09:91.56:91.93
CSCO:16.92:Moving up:0.01:18.89:18.48:18.78
DD:52.14:Moving down:-0.01:52.60:51.85:52.09
CVX:103.77:Moving down:-0.03:102.50:101.37:101.78
UTX:77.49:Moving down:-0.01:77.91:76.76:77.01
MCD:92.18:Moving down:-0.01:93.09:91.56:91.93
HD:50.69:Moving down:-0.01:50.37:49.85:50.11
AXP:59.47:Moving down:-0.02:59.99:58.93:59.46
MMM:87.26:Moving down:-0.01:87.84:85.98:87.27
HD:50.68:Moving down:-0.01:50.37:49.85:50.11
KO:77.59:Moving up:0.01:77.19:76.49:76.78
DIS:45.37:Moving up:0.02:45.80:44.41:45.02
IBM:201.14:Moving down:-0.01:203.00:199.06:201.23
MRK:38.45:Moving up:0.01:38.49:38.09:38.09
CAT:95.68:Moving down:-0.05:97.30:94.08:95.99
MCD:92.17:Moving down:-0.01:93.09:91.56:91.93
BA:74.14:Moving up:0.01:74.86:73.32:74.05
CVX:103.78:Moving up:0.01:102.50:101.37:101.78
UTX:77.48:Moving down:-0.01:77.91:76.76:77.01
KFT:39.09:Moving down:-0.01:39.14:38.84:38.87
HD:50.67:Moving down:-0.01:50.37:49.85:50.11
JPM:40.86:Moving down:-0.01:41.02:40.12:40.64
IBM:201.12:Moving down:-0.02:203.00:199.06:201.23
MRK:38.44:Moving down:-0.01:38.49:38.09:38.09
AXP:59.48:Moving up:0.01:59.99:58.93:59.46
KO:77.58:Moving down:-0.01:77.19:76.49:76.78
AA:9.11:Moving down:-0.01:9.27:9.00:9.15
WMT:59.32:Moving down:-0.01:59.24:58.27:59.03
AXP:59.47:Moving down:-0.01:59.99:58.93:59.46
TRV:64.70:Moving down:-0.01:64.32:63.60:63.92
MSFT:30.77:Moving down:-0.01:30.83:30.10:30.76
HPQ:23.55:Moving down:-0.01:23.53:22.92:23.33
AXP:59.49:Moving up:0.02:59.99:58.93:59.46
VZ:40.64:Moving down:-0.01:40.47:40.10:40.25
PFE:22.85:Moving down:-0.01:22.79:21.95:22.45
TRV:64.69:Moving down:-0.01:64.32:63.60:63.92
DIS:45.36:Moving down:-0.01:45.80:44.41:45.02
KO:77.57:Moving down:-0.01:77.19:76.49:76.78
JPM:40.85:Moving down:-0.01:41.02:40.12:40.64
KFT:39.10:Moving up:0.01:39.14:38.84:38.87
IBM:201.13:Moving up:0.01:203.00:199.06:201.23
WMT:59.33:Moving up:0.01:59.24:58.27:59.03
